اباي	a b a i
ٴالىپ جۇرۋ	a l e p   j xu r w
ٴالىپ جۇرۋشى	a l e p   j xu r w sh xe
الىپ كەل	a l e p   k ye l
الىستان	a l e s t a n
الىستادى	a l e s t a d e
الىستا	a l e s t a
البا	a l b a
الىسقا	a l e s q a
الىسقا كەتتى	a l e s q a   k ye t t xe
الىپساتارلىق	a l e p s a t a r l e q
الىپتار	a l e p t a r
الىس جانە الىس	a l e s   j xa n ye   a l e s
الىس ساپار	a l e s   s a p a r
ٴالبۋمىن	a l b w m xe n
البۋمەندەر	a l b w m ye n d ye r
البومدار	a l b o m d a r
الۆەولا	a l v ye o l a
ٴالبۋمىنوىد	a l b w m xe n o xe d
الۆەوليارلى	a l v ye o l i a r l e
الباكور	a l b a k o r
الباتروس	a l b a t r o s
ٴالبىنو	a l b xe n o
البوم	a l b o m
الپىنىستەر	a l p xe n xe s t ye r
ٴالپىنىست	a l p xe n xe s t
ٴالپىنىزم	a l p xe n xe z m
الپىلەر	a l p xe l ye r
ٴالپى	a l p xe
الماناح	a l m a n a h
الماناحتار	a l m a n a h t a r
الپ	a l p
الپاكا	a l p a k a
الفرەسكو	a l f r ye s k o
الفا	a l f a
الترۋىستىك	a l t r w xe s t xe k
اليۋمىنىيلەڭەن	a l i w m xe n xe i l ye n g ye n
ٴاليۋمىنىي	a l i w m xe n xe i
ٴاليۋمىنىيلى	a l i w m xe n xe i l xe
التو	a l t o
ٴالترۋىزم	a l t r w xe z m
ٴالترۋىست	a l t r w xe s t
الترۋىستەر	a l t r w xe s t ye r
الترۋىستىكالىق تۇردە	a l t r w xe s t xe k a l e q   t xu r d ye
العا ۇمتىلۋ	a l gh a   u m t e l w
العا قويدى	a l gh a   q o i d e
العا تارتۋ	a l gh a   t a r t w
العى	a l gh e
العىم كەلەدى	a l gh e m   k ye l ye d xe
العىس ايتۋ	a l gh e s   a i t w
العا	a l gh a
العا باسۋ	a l gh a   b a s w
العا جىلجۋدا	a l gh a   j e l j w d a
ٴالعا جۇرۋ	a l gh a   j xu r w
العا ىتەرۋ	a l gh a   xe t ye r w
العىشارتتار	a l gh e sh a r t t a r
القاپتار	a l q a p t a r
القاپتارى	a l q a p t a r e
العىسسىزدىق	a l gh e s s e z d e q
العىستار	a l gh e s t a r
العىشارت	a l gh e sh a r t
امالگاماتتار	a m a l g a m a t t a r
امالدار	a m a l d a r
امالگامات	a m a l g a m a t
امان بولسىن	a m a n   b o l s e n
امان قالادى	a m a n   q a l a d e
امازون	a m a z o n
امازوندار	a m a z o n d a r
اماك	a m a k
امالگام	a m a l g a m
امالگامالار	a m a l g a m a l a r
اماتىكالىق	a m a t xe k a l e q
ٴاماتىۆتى	a m a t xe v t xe
امارانت	a m a r a n t
اماتول	a m a t o l
امبىۆالەنتتىلىك	a m b xe v a l ye n t t xe l xe k
امان قالدى	a m a n   q a l d e
اماندىق	a m a n d e q
ٴامانتىن	a m a n t xe n
امانۋەندەر	a m a n w ye n d ye r
امانۋەنسىس	a m a n w ye n s xe s
امبو	a m b o
امبلەر	a m b l ye r
ٴامبىتسىياسى	a m b xe t s xe i a s e
ٴامبروزىيا	a m b r o z xe i a
امبرا	a m b r a
ٴامبروزىيالىق	a m b r o z xe i a l e q
ٴامبىتسادا	a m b xe t s a d a
ٴامبىتسىيا	a m b xe t s xe i a
ٴامبىتسىيالاڭحان	a m b xe t s xe i a l a n gh a n
ٴامبىتسىيالار	a m b xe t s xe i a l a r
امەنورەيا	a m ye n o r ye i a
امەبىيالىق	a m ye b xe i a l e q
امەرىكا	a m ye r xe k a
امەتىست	a m ye t xe s t
ٴامبۋلاتورىيالار	a m b w l a t o r xe i a l a r
ٴامبۋلاتورىيالىق	a m b w l a t o r xe i a l e q
امەب	a m ye b
امەبا	a m ye b a
ٴامىس	a m xe s
ٴامىر	a m xe r
ٴامىن	a m xe n
ٴاممونىي	a m m o n xe i
اممەترلەر	a m m ye t r l ye r
اممىاك	a m m xe a k
ٴامىگو	a m xe g o
ٴامىدا	a m xe d a
ٴامىدىيالار	a m xe d xe i a l a r
ٴامىلازا	a m xe l a z a
ٴامورتىزاتسىيا	a m o r t xe z a t s xe i a
امورالدى	a m o r a l d e
اموك	a m o k
ٴامورتىزاتسىيالايدى	a m o r t xe z a t s xe i a l a i d e
ٴامورتىزاتسىيالاڭحان	a m o r t xe z a t s xe i a l a n gh a n
ٴامورتىزاتسىيالاۋ	a m o r t xe z a t s xe i a l a w
ٴاممونىت	a m m o n xe t
اممونىتتەر	a m m o n xe t t ye r
امنەزىيا	a m n ye z xe i a
امنىوتسەنتەز	a m n xe o t s ye n t ye z
امپۋلا	a m p w l a
ٴامپلىتۋداسى	a m p l xe t w d a s e
امپەرساندالار	a m p ye r s a n d a l a r
امپۋلالار	a m p w l a l a r
ٴامپۋتاتسىيالار	a m p w t a t s xe i a l a r
ٴامورتىزاتسىيالىق	a m o r t xe z a t s xe i a l e q
امورفتى	a m o r f t e
امپەر	a m p ye r
امپەرمەتر	a m p ye r m ye t r
ٴامفىبول	a m f xe b o l
ٴامفىبىيالىق	a m f xe b xe i a l e q
امفىتەاتر	a m f xe t ye a t r
ٴامفىبولوگىيا	a m f xe b o l o g xe i a
امفىتەاترلار	a m f xe t ye a t r l a r
امۋلەت	a m w l ye t
امۋر	a m w r
امفەتامىن	a m f ye t a m xe n
امفەتامىندەر	a m f ye t a m xe n d ye r
ٴانابولىزم	a n a b o l xe z m
اناباتىكالىق	a n a b a t xe k a l e q
اناگراممالىق	a n a g r a m m a l e q
اناگرامما	a n a g r a m m a
اناكوندا	a n a k o n d a
انا	a n a
انا بولۋ	a n a   b o l w
انا ەلى	a n a   ye l xe
ٴانا تىلى	a n a   t xe l xe
انالوگتارى	a n a l o g t a r e
انالىتىكالىق	a n a l xe t xe k a l e q
انالىق بەز	a n a l e q   b ye z
انالىق	a n a l e q
انالىق پلاتا	a n a l e q   p l a t a
ٴانالىز جاسايدى	a n a l xe z   j a s a i d e
ٴانالىزاتور	a n a l xe z a t o r
ٴانالىزاتورلار	a n a l xe z a t o r l a r
انالىتىك	a n a l xe t xe k
انامنەز	a n a m n ye z
انالەكتا	a n a l ye k t a
انالدى	a n a l d e
ٴانارحىزم	a n a r h xe z m
اناپاەست	a n a p a ye s t
انار	a n a r
انالىق تاقتالار	a n a l e q   t a q t a l a r
انالگەزىيا	a n a l g ye z xe i a
انالگەتىكالىق	a n a l g ye t xe k a l e q
اناتەماتىكا	a n a t ye m a t xe k a
اناسى	a n a s e
ٴانارحىيالىق	a n a r h xe i a l e q
اناتەماتىزاتسىيالاۋ	a n a t ye m a t xe z a t s xe i a l a w
اناتەمىيا	a n a t ye m xe i a
ٴاناتومىست	a n a t o m xe s t
ٴانارحىست	a n a r h xe s t
انارحىستەر	a n a r h xe s t ye r
ٴانارحىيا	a n a r h xe i a
انافىلاكسىيا	a n a f xe l a k s xe i a
انافازا	a n a f a z a
ٴاناتومىياسى	a n a t o m xe i a s e
اناحرونىستىك	a n a h r o n xe s t xe k
ٴاناحرونىزم	a n a h r o n xe z m
اناحرونىزمدەر	a n a h r o n xe z m d ye r
ٴاناتومىيا	a n a t o m xe i a
ٴاناتومىيالاۋ	a n a t o m xe i a l a w
ٴاناتومىيالىق	a n a t o m xe i a l e q
ٴاڭىدرىت	a n g xe d r xe t
اڭەلولوگىيا	a n g ye l o l o g xe i a
اڭەلىكا	a n g ye l xe k a
ٴاڭىوگرافىيا	a n g xe o g r a f xe i a
اڭلىكان	a n g l xe k a n
اناەروب	a n a ye r o b
اناەروبتى	a n a ye r o b t e
اڭار	a n g a r
اڭارلار	a n g a r l a r
اڭورا	a n g o r a
ٴاڭلوفىلدى	a n g l o f xe l d xe
اڭسترومدار	a n g s t r o m d a r
اندەررايتەرلەر	a n d ye r r a i t ye r l ye r
اڭلىكاتسىيا	a n g l xe k a t s xe i a
ٴاڭلىڭ	a n g l xe n g
اڭلىرلەڭەن	a n g l xe r l ye n g ye n
اڭلىستەر	a n g l xe s t ye r
ٴاندروگىن	a n d r o g xe n
اندروگەندىك	a n d r o g ye n d xe k
اندروگەن	a n d r o g ye n
انەكدوت	a n ye k d o t
انەۆرىزماسى	a n ye v r xe z m a s e
انەكدوتىكالىق	a n ye k d o t xe k a l e q
اندەررايتىڭ	a n d ye r r a i t xe n g
اندەررايتتار	a n d ye r r a i t t a r
ٴاندىرون	a n d xe r o n
انەمون	a n ye m o n
انەمومەترلەر	a n ye m o m ye t r l ye r
انەمومەتر	a n ye m o m ye t r
انەنت	a n ye n t
انەستەزىولوگىيا	a n ye s t ye z xe o l o g xe i a
انەكدوتتار	a n ye k d o t t a r
انەمىيا	a n ye m xe i a
انەمىيالىق	a n ye m xe i a l e q
انەموگراف	a n ye m o g r a f
ٴانىلىن	a n xe l xe n
ٴانىل	a n xe l
ٴانىماتورلار	a n xe m a t o r l a r
انىمادۆەرت	a n xe m a d v ye r t
ٴانىماتسىيا	a n xe m a t s xe i a
انەستەزىرلەڭەن	a n ye s t ye z xe r l ye n g ye n
انەستەزىيا	a n ye s t ye z xe i a
انەستەتىكالىق	a n ye s t ye t xe k a l e q
ٴانىزوتروپتى	a n xe z o t r o p t e
ٴانىمىست	a n xe m xe s t
ٴانىمىزم	a n xe m xe z m
ٴانىمۋس	a n xe m w s
ٴانىوندار	a n xe o n d a r
ٴانىماتسىيا جاسايدى	a n xe m a t s xe i a   j a s a i d e
ٴانىماتسىيالاڭحان	a n xe m a t s xe i a l a n gh a n
ٴانىماتسىيالار	a n xe m a t s xe i a l a r
ٴانىماتسىيالىق	a n xe m a t s xe i a l e q
انكورىت	a n k o r xe t
انكون	a n k o n
انكلاۆتار	a n k l a v t a r
ٴاننوتاتسىيا	a n n o t a t s xe i a
ٴاننوتاتسىيالار	a n n o t a t s xe i a l a r
اننۋىتەت	a n n w xe t ye t
ٴانىوندى	a n xe o n d e
ٴانىس	a n xe s
انكەرلەۋ	a n k ye r l ye w
انكلاۆ	a n k l a v
انودتار	a n o d t a r
انودتالعان	a n o d t a l gh a n
ٴانومالىيا	a n o m a l xe i a
انوكسىيا	a n o k s xe i a
انومالدى	a n o m a l d e
اننۋىتەتتەر	a n n w xe t ye t t ye r
اننۋىتەتتى	a n n w xe t ye t t xe
انود	a n o d
ٴانودىن	a n o d xe n
انورەكتىكالىق	a n o r ye k t xe k a l e q
انورەكسىيا	a n o r ye k s xe i a
انوراك	a n o r a k
انوفەلالار	a n o f ye l a l a r
انسامبلدەر	a n s a m b l d ye r
ٴانومىيا	a n o m xe i a
انون	a n o n
ٴانونىم	a n o n xe m
انونىمدىلىك	a n o n xe m d xe l xe k
انتاگونىستەر	a n t a g o n xe s t ye r
ٴانتاگونىست	a n t a g o n xe s t
ٴانتاگونىزم	a n t a g o n xe z m
انتاركتىكالىق	a n t a r k t xe k a l e q
انتاگونىستىك	a n t a g o n xe s t xe k
انتە	a n t ye
انسەرىن	a n s ye r xe n
انت	a n t
انت بەردى	a n t   b ye r d xe
انت بەرەدى	a n t   b ye r ye d xe
انتەناتالدى	a n t ye n a t a l d e
انتەكەنتتەر	a n t ye k ye n t t ye r
انتىبىوتىكتەر	a n t xe b xe o t xe k t ye r
انتەرومدار	a n t ye r o m d a r
انتىبىوتىك	a n t xe b xe o t xe k
انتەاتور	a n t ye a t o r
انتەاترلار	a n t ye a t r l a r
انتەدىلۋۆىيالىق	a n t ye d xe l w v xe i a l e q
انتىدەپرەسسانت	a n t xe d ye p r ye s s a n t
انتىدەنەلەر	a n t xe d ye n ye l ye r
انتىدەنە	a n t xe d ye n ye
ٴانتىدوت	a n t xe d o t
ٴانتىدوتتار	a n t xe d o t t a r
انتىك	a n t xe k
انتىۆەنىن	a n t xe v ye n xe n
انتىگەن	a n t xe g ye n
انتىگەندەر	a n t xe g ye n d ye r
ٴانتىگىستامىن	a n t xe g xe s t a m xe n
انتىكواگۋليانت	a n t xe k o a g w l i a n t
انتىكلىنال	a n t xe k l xe n a l
انتىكلىماكس	a n t xe k l xe m a k s
ٴانتىلوگ	a n t xe l o g
ٴانتىلوگارىتم	a n t xe l o g a r xe t m
انتىكالىق	a n t xe k a l e q
انتىكالىق جاعداي	a n t xe k a l e q   j a gh d a i
انتىكۆارىات	a n t xe k v a r xe a t
انتىكلەرىيالىق	a n t xe k l ye r xe i a l e q
انتىپىرەتىكالىق	a n t xe p xe r ye t xe k a l e q
انتىپەنسۋلتىكالىق	a n t xe p ye n s w l t xe k a l e q
ٴانتىپاتىيا	a n t xe p a t xe i a
ٴانتىپودالدى	a n t xe p o d a l d e
ٴانتىپود	a n t xe p o d
ٴانتىپودتار	a n t xe p o d t a r
انتىماكاسسالار	a n t xe m a k a s s a l a r
انتىمونتەر	a n t xe m o n t ye r
ٴانتىنومىيا	a n t xe n o m xe i a
انتىوكسىدانت	a n t xe o k s xe d a n t
انتىپاتەتىكالىق	a n t xe p a t ye t xe k a l e q
انتىتەررورىزم	a n t xe t ye r r o r xe z m
انتىستاتىكالىق	a n t xe s t a t xe k a l e q
انتىسپاسوماتىكالىق	a n t xe s p a s o m a t xe k a l e q
انتىتەزا	a n t xe t ye z a
انتىتانك	a n t xe t a n k
انتىتەتىكالىق	a n t xe t ye t xe k a l e q
ٴانتىپروتون	a n t xe p r o t o n
ٴانتىررىن	a n t xe r r xe n
ٴانتىسانىتارلىق	a n t xe s a n xe t a r l e q
انتىسەپسىس	a n t xe s ye p s xe s
انتىسەپتىكالىق	a n t xe s ye p t xe k a l e q
ٴانتىفرىز	a n t xe f r xe z
ٴانتىفونىيا	a n t xe f o n xe i a
ٴانتىفونالدى	a n t xe f o n a l d e
ٴانتىيا	a n t xe i a
ٴانتىحرىست	a n t xe h r xe s t
انتىتسىكلون	a n t xe t s xe k l o n
انتىتوكسىن	a n t xe t o k s xe n
انتىتوكسىندەر	a n t xe t o k s xe n d ye r
ٴانتىفون	a n t xe f o n
ٴانتراتسىت	a n t r a t s xe t
انتراكنوز	a n t r a k n o z
انتونىمدەر	a n t o n xe m d ye r
انتروپوگەندىك	a n t r o p o g ye n d xe k
ٴانتروپولوگىيا	a n t r o p o l o g xe i a
ٴانتولوگىيا	a n t o l o g xe i a
ٴانتولوگىيالارى	a n t o l o g xe i a l a r e
ٴانتولوگىيالىق	a n t o l o g xe i a l e q
ٴانتونىم	a n t o n xe m
انتروپوتسەنترلىك	a n t r o p o t s ye n t r l xe k
ٴانتروپوفاگىت	a n t r o p o f a g xe t
ٴانتروپوسوفىيا	a n t r o p o s o f xe i a
انتحامبەرلەر	a n t h a m b ye r l ye r
انتتار	a n t t a r
انۋس	a n w s
انتروپومەترىيا	a n t r o p o m ye t r xe i a
انتروپومەترىيالىق	a n t r o p o m ye t r xe i a l e q
ٴانتروپومورفىزم	a n t r o p o m o r f xe z m
انتروپومورفتى	a n t r o p o m o r f t e
انىقتادى	a n e q t a d e
انىقسىزدىق	a n e q s e z d e q
انىقتالدى	a n e q t a l d e
انىقتالاتىن	a n e q t a l a t e n
انچوۋس	a n ch o w s
انىق	a n e q
انىق ايتادى	a n e q   a i t a d e
انىق ايتۋعا بولادى	a n e q   a i t w gh a   b o l a d e
انىقتامالارى	a n e q t a m a l a r e
انىقتاما بەرۋ	a n e q t a m a   b ye r w
انىقتاۋلار	a n e q t a w l a r
انىقتاۋ	a n e q t a w
انىقتاۋشى	a n e q t a w sh e
انىقتالمادى	a n e q t a l m a d e
انىقتالمايتىن	a n e q t a l m a i t e n
انىقتالماۋى	a n e q t a l m a w e
انىقتالعان	a n e q t a l gh a n
انىقتاما	a n e q t a m a
اورتا	a o r t a
ٴاورىفتى	a o r xe f t xe
انىقتىق	a n e q t e q
اپاي	a p a i
اورتالىق	a o r t a l e q
اپا	a p a
انىقتاۋىش	a n e q t a w e sh
انىقتاۋىشتار	a n e q t a w e sh t a r
انىقتاۋعا بولادى	a n e q t a w gh a   b o l a d e
انىقتاڭىز	a n e q t a n g e z
انىقتىلىق	a n e q t e l e q
اپارىڭىز	a p a r e n g e z
اپارىلدى	a p a r e l d e
اپارۋ	a p a r w
اپات	a p a t
ٴاپاتىيا	a p a t xe i a
اپان	a p a n
اپاناج	a p a n a j
اپانات	a p a n a t
اپارتەىد	a p a r t ye xe d
اپاچ	a p a ch
اپەللياتسىيالار	a p ye l l i a t s xe i a l a r
اپەللياتسىيا	a p ye l l i a t s xe i a
اپەللياتسىيالىق	a p ye l l i a t s xe i a l e q
اپاتتار	a p a t t a r
اپاتتى	a p a t t e
اپاتتىق	a p a t t e q
اپاتقا ۇشىراعان	a p a t q a   u sh e r a gh a n
ٴاپىىن	a p xe e n
ٴاپىش	a p xe sh
اپىكالدى	a p xe k a l d e
اپوگەيلەر	a p o g ye i l ye r
اپنوە	a p n o ye
اپوگەي	a p o g ye i
اپەلسىن	a p ye l s xe n
اپەلسىندەر	a p ye l s xe n d ye r
اپەراتور	a p ye r a t o r
اپەرىتىۆ	a p ye r xe t xe v
ٴاپىان	a p xe a n
اپوپلەكسىيا	a p o p l ye k s xe i a
اپومبا	a p o m b a
اپولوگ	a p o l o g
اپوستاتتاۋ	a p o s t a t t a w
اپوستول	a p o s t o l
اپوكالىپسىس	a p o k a l xe p s xe s
اپوكالىپتىكالىق	a p o k a l xe p t xe k a l e q
اپوكرىفا	a p o k r xe f a
اپوكرىفتى	a p o k r xe f t xe
اپوفەوسىزاتسىيا	a p o f ye o s xe z a t s xe i a
ٴاپوفارىيا	a p o f a r xe i a
ٴاپپارتىڭ	a p p a r t xe n g
اپپاراتتىق	a p p a r a t t e q
اپوستولدىق	a p o s t o l d e q
اپوستروف	a p o s t r o f
اپوستروفتار	a p o s t r o f t a r
اپوتەگم	a p o t ye g m
اپوتەوز	a p o t ye o z
اپپلىكا	a p p l xe k a
اپروپوس	a p r o p o s
ٴاپروباتسىيا	a p r o b a t s xe i a
ٴاپروباتسىيالاۋ	a p r o b a t s xe i a l a w
اپپاق	a p p a q
اپپەلياتسىيا	a p p ye l i a t s xe i a
اپپەندىكۋليارلى	a p p ye n d xe k w l i a r l e
اپپەندىتسىت	a p p ye n d xe t s xe t
اپپەرتسەپتسىيا	a p p ye r t s ye p t s xe i a
اپپەتىزاتورلار	a p p ye t xe z a t o r l a r
اراب	a r a b
ارا شارۋاشىلىعى	a r a   sh a r w a sh e l e gh e
ارا	a r a
ارابەسك	a r a b ye s k
ٴارابىست	a r a b xe s t
ٴاراگونىت	a r a g o n xe t
اپتا	a p t a
اپتا سايىن	a p t a   s a i e n
اپتالار	a p t a l a r
اپتاسىنا	a p t a s e n a
ارالاستىرۋ تاقتاسى	a r a l a s t e r w   t a q t a s e
ارالاستىرۋ	a r a l a s t e r w
ارالاستىرادى	a r a l a s t e r a d e
ارالاستىرىڭىز	a r a l a s t e r e n g e z
ارالاستىرعىشتار	a r a l a s t e r gh e sh t a r
ارال	a r a l
ارالار	a r a l a r
ارالاس	a r a l a s
ارالاسادى	a r a l a s a d e
ارالدار	a r a l d a r
ارالاۋشى	a r a l a w sh e
ارالى	a r a l e
ارالشى	a r a l sh e
ارالىق	a r a l e q
ارالاسۋ	a r a l a s w
ارالاسۋلار	a r a l a s w l a r
ارالاسقان	a r a l a s q a n
ارالاۋ ورىندارى	a r a l a w   o r e n d a r e
ارامدىقتار	a r a m d e q t a r
ارامداۋ	a r a m d a w
ارام	a r a m
ٴارامشوپ	a r a m sh xo p
ارامزا	a r a m z a
ارامشوپتەر	a r a m sh xo p t ye r
ارالىق ساقتاعىش	a r a l e q   s a q t a gh e sh
